Sentence #,Word,Tag
Sentence: 1,Regular,O
,exercise,O
,makes,O
,the,O
,heart,O
,stronger,O
,and,O
,the,O
,lungs,O
,fitter,B-MT
,",",O
,enabling,O
,the,O
,cardiovascular,O
,system,O
,to,O
,deliver,O
,more,O
,oxygen,O
,to,O
,the,O
,body,O
,with,B-MT
,every,B-MT
,heartbeat,B-MT
,and,O
,the,O
,pulmonary,O
,system,O
,to,O
,increase,O
,the,O
,maximum,O
,amount,O
,of,O
,oxygen,O
,that,O
,the,O
,lungs,O
,can,O
,take,O
,in,O
,.,O
,定期的,O
,な,O
,運動,O
,は,O
,、,O
,心臓,O
,をより,O
,強,O
,くし,O
,、,O
,肺,O
,をよりぴったりさせ,O
,、,O
,心臓血管系,O
,があらゆる,O
,心拍,O
,で,O
,身体,O
,により,O
,多,O
,くの,O
,酸素,O
,を,O
,送達,O
,することを,O
,可能,O
,にし,O
,、,O
,肺,O
,システム,O
,は,O
,、,O
,肺,O
,が,O
,取,O
,り,O
,込,O
,むことができる,O
,酸素,O
,の,O
,最大量,O
,を,O
,増加,O
,させる,O
,。,O
Sentence: 2,These,O
,beneficial,O
,effects,O
,in,O
,turn,O
,decrease,O
,the,O
,risk,O
,of,O
,heart,O
,attack,O
,",",O
,stroke,O
,",",O
,and,O
,coronary,O
,artery,O
,disease,O
,.,O
,これらの,O
,有益,O
,な,O
,効果,O
,は,O
,、,O
,心臓発作,O
,、,O
,脳卒中,O
,、,O
,および,O
,冠状動脈疾患,O
,の,O
,リスク,O
,を,O
,減少,O
,させる,O
,。,O
Sentence: 3,In,O
,addition,O
,",",O
,colon,O
,cancer,O
,and,O
,some,O
,forms,B-MT
,of,O
,diabetes,O
,are,O
,less,O
,likely,O
,to,O
,occur,O
,in,O
,people,O
,who,O
,exercise,O
,regularly,O
,.,O
,さらに,O
,、,O
,大腸癌,O
,およびいくつかの,O
,形態,O
,の,O
,糖尿病,O
,は,O
,、,O
,定期的,O
,に,O
,運動,O
,する,O
,人,O
,々,O
,には,O
,起,O
,こりにくい,O
,。,O
Sentence: 4,In,O
,short,O
,",",O
,regular,O
,exercise,O
,is,O
,one,O
,of,O
,the,O
,best,O
,things,O
,that,O
,people,O
,can,O
,do,O
,to,O
,help,O
,prevent,O
,illness,O
,",",O
,maintain,O
,healthy,O
,body,O
,weight,O
,",",O
,preserve,O
,health,O
,and,O
,longevity,O
,",",O
,and,O
,enhance,O
,quality,O
,of,O
,life,O
,.,O
,要,O
,するに,O
,、,O
,定期的,O
,な,O
,運動,O
,は,O
,、,O
,病気,O
,を,O
,予防,O
,し,O
,、,O
,健康,O
,な,O
,体重,O
,を,O
,維持,O
,し,O
,、,O
,健康,O
,と,O
,長生,O
,きを,O
,維持,O
,し,O
,、,O
,生活,O
,の,O
,質,O
,を,O
,高,O
,めるために,O
,人,O
,々,O
,ができる,O
,最高,O
,のものの,O
,1,O
,つです,O
,。,O
Sentence: 5,Exercise,O
,makes,O
,muscles,O
,stronger,O
,",",O
,allowing,O
,people,O
,to,O
,do,B-MT
,tasks,B-MT
,that,O
,they,O
,otherwise,O
,might,O
,not,O
,be,O
,able,O
,to,O
,do,O
,or,O
,to,O
,do,B-MT
,them,B-MT
,more,B-MT
,easily,B-MT
,.,B-MT
,エクササイズ,O
,は,O
,筋肉,O
,をより,O
,強,O
,くし,O
,、,O
,そうしなければできないかもしれない,O
,仕事,O
,をやり,O
,直,O
,すことを,O
,可能,O
,にします,O
,。,O
Sentence: 6,Every,O
,physical,B-MT
,task,O
,requires,B-MT
,muscle,O
,strength,O
,and,O
,some,O
,degree,O
,of,O
,range,O
,of,O
,motion,O
,in,O
,joints,O
,.,O
,すべての,O
,物理的,O
,な,O
,タスク,O
,には,O
,、,O
,筋肉,O
,の,O
,強,O
,さと,O
,関節可動域,O
,のある,O
,程度,O
,の,O
,範囲,O
,があります,O
,。,O
Sentence: 7,Regular,O
,exercise,O
,can,O
,improve,O
,both,O
,of,O
,these,O
,qualities,O
,.,O
,",",O
,O
,通常,B-MT
,の,B-MT
,運動,O
,は,O
,、,O
,これらの,O
,性質,O
,を,O
,改善,O
,することができる,O
,。,O
Sentence: 8,Exercise,O
,stretches,O
,muscles,O
,and,O
,joints,O
,",",O
,which,O
,in,O
,turn,O
,can,O
,increase,O
,flexibility,O
,and,O
,help,O
,prevent,O
,injuries,O
,.,O
,運動,O
,は,O
,筋肉,O
,と,O
,関節,O
,を,O
,伸展,O
,させますが,O
,、,O
,これは,O
,柔軟性,O
,を,O
,高,O
,め,O
,、,O
,怪我,O
,を,O
,防,O
,ぐのに,O
,役立,O
,ちます,O
,。,O
Sentence: 9,Exercise,O
,may,O
,also,O
,improve,O
,balance,O
,by,O
,increasing,O
,strength,O
,of,O
,the,O
,tissues,O
,around,O
,joints,O
,and,O
,throughout,O
,the,O
,body,O
,",",O
,thus,O
,helping,O
,to,O
,prevent,O
,falls,O
,.,O
,運動,O
,は,O
,、,O
,関節周囲,O
,の,O
,組織,O
,や,O
,体全体,O
,の,O
,強度,O
,を,O
,高,O
,めることによって,O
,バランス,O
,を,O
,改善,O
,することができ,O
,、,O
,転倒,O
,を,O
,防,O
,ぐ,O
,助,O
,けになります,O
,。,O
Sentence: 10,Weight-bearing,B-MT
,exercise,B-MT
,",",O
,such,O
,as,O
,brisk,O
,walking,O
,and,O
,weight,B-MT
,training,B-MT
,",",O
,strengthens,O
,bones,O
,and,O
,helps,O
,prevent,O
,osteoporosis,O
,.,O
,歩行,O
,や,O
,体重,O
,の,O
,トレーニング,O
,などの,O
,体重,O
,を,O
,重視,O
,する,O
,運動,O
,は,O
,、,O
,骨,O
,を,O
,強化,O
,し,O
,、,O
,骨粗鬆症,O
,を,O
,予防,O
,するのに,O
,役立,O
,ちます,O
,。,O
Sentence: 11,Exercise,O
,often,O
,can,O
,improve,O
,function,O
,and,O
,reduce,O
,pain,O
,in,O
,people,O
,with,O
,osteoarthritis,B-MT
,",",O
,although,O
,regimens,O
,must,O
,be,O
,developed,O
,specifically,O
,for,O
,each,O
,person,O
,",",O
,and,O
,exercises,B-MT
,that,O
,put,O
,undue,O
,strain,O
,on,O
,joints,O
,",",O
,such,O
,as,O
,jumping,O
,and,O
,running,O
,",",O
,may,O
,need,O
,to,O
,be,O
,avoided,O
,.,O
,エクササイズ,O
,は,O
,骨関節炎,O
,の,O
,人,O
,々,O
,の,O
,機能,O
,を,O
,改善,O
,し,O
,、,O
,痛,O
,みを,O
,軽減,O
,することができますが,O
,、,O
,個,O
,々,O
,の,O
,人,O
,のために,O
,特別,O
,に,O
,治療法,O
,を,O
,開発,O
,しなければならず,O
,、,O
,ジャンプ,O
,や,O
,走,O
,りなど,O
,関節,O
,に,O
,過度,O
,の,O
,負担,O
,をかける,O
,演習,O
,を,O
,避,O
,ける,O
,必要,O
,があります,O
,。,O
Sentence: 12,Exercise,O
,increases,O
,the,O
,body,O
,’,O
,s,O
,level,O
,of,O
,endorphins,O
,",",O
,chemicals,O
,in,O
,the,O
,brain,O
,that,O
,reduce,O
,pain,O
,and,O
,induce,O
,a,O
,sense,O
,of,O
,well-being,O
,.,O
,エクササイズ,O
,は,O
,体,O
,の,O
,痛,O
,みを,O
,軽減,O
,し,O
,、,O
,幸福感,O
,を,O
,誘発,O
,する,O
,脳,O
,の,O
,エンドルフィン,O
,、,O
,化学物質,O
,の,O
,レベル,O
,を,O
,上昇,O
,させます,O
,。,O
Sentence: 13,Thus,O
,",",O
,exercise,O
,can,O
,help,O
,improve,O
,mood,O
,and,O
,energy,O
,levels,O
,and,O
,may,O
,even,O
,help,O
,relieve,O
,depression,O
,.,O
,したがって,O
,、,O
,運動,O
,は,O
,気分,O
,や,O
,エネルギーレベル,O
,を,O
,改善,O
,するのに,O
,役立,O
,ち,O
,、,O
,うつ,O
,病,O
,の,O
,緩和,O
,にも,O
,役立,O
,ちます,O
,。,O
Sentence: 14,Exercise,O
,may,O
,also,O
,help,O
,boost,O
,self-esteem,O
,by,O
,improving,O
,a,O
,person,O
,’,O
,s,O
,overall,O
,health,O
,and,O
,appearance,O
,.,O
,運動,O
,はまた,O
,、,O
,人,O
,の,O
,全体的,O
,な,O
,健康状態,O
,および,O
,外観,O
,を,O
,改善,O
,することによって,O
,自尊心,O
,を,O
,高,O
,めるのに,O
,役立,O
,ち,O
,得,O
,る,O
,。,O
Sentence: 15,In,O
,addition,O
,to,O
,its,O
,other,O
,benefits,O
,",",O
,regular,O
,exercise,O
,helps,O
,older,O
,people,O
,remain,B-MT
,independent,B-MT
,by,O
,improving,O
,functional,O
,ability,O
,and,O
,by,O
,preventing,O
,falls,B-MT
,and,O
,fractures,O
,(,O
,see,O
,also,O
,Exercise,O
,in,O
,the,O
,Elderly,O
,),O
,.,O
,そのほかの,O
,利点,O
,に,O
,加,O
,えて,O
,、,O
,定期的,O
,な,O
,運動,O
,は,O
,機能的能力,O
,を,O
,改善,O
,し,O
,、,O
,落,O
,ち,O
,込,O
,みや,O
,骨折,O
,を,O
,予防,O
,することによって,O
,高齢者,O
,を,O
,独立,O
,させたままにするのに,O
,役立,O
,ちます,O
,（,O
,高齢者,O
,の,O
,運動,O
,も,O
,参照,O
,）,O
,。,O
Sentence: 16,It,O
,can,O
,strengthen,O
,the,O
,muscles,O
,of,O
,even,O
,the,O
,frailest,O
,older,O
,person,O
,living,O
,in,O
,a,B-MT
,nursing,B-MT
,or,O
,retirement,O
,home,O
,.,O
,老人,O
,ホーム,O
,や,O
,老人,O
,ホーム,O
,に,O
,住,O
,んでいる,O
,高齢者,O
,でも,O
,、,O
,筋肉,O
,を,O
,鍛,O
,えることができます,O
,。,O
Sentence: 17,It,O
,tends,O
,to,O
,increase,O
,appetite,O
,",",O
,reduce,O
,constipation,O
,",",O
,and,O
,promote,O
,quality,O
,sleep,O
,.,O
,食欲,O
,を,O
,高,O
,め,O
,、,O
,便秘,O
,を,O
,減,O
,らし,O
,、,O
,睡眠,O
,の,O
,質,O
,を,O
,高,O
,める,O
,傾向,O
,があります,O
,。,O
Sentence: 18,The,O
,benefits,O
,of,O
,exercise,O
,diminish,O
,within,O
,weeks,O
,after,O
,a,B-MT
,person,B-MT
,stops,B-MT
,exercising,B-MT
,.,O
,運動,O
,の,O
,効果,O
,は,O
,、,O
,運動,O
,が,O
,停止,O
,してから,O
,数週間以内,O
,に,O
,減少,O
,します,O
,。,O
Sentence: 19,Heart,O
,strength,O
,",",O
,muscle,O
,strength,O
,",",O
,and,O
,the,O
,level,O
,of,O
,HDL,O
,cholesterol,O
,decrease,O
,",",O
,whereas,O
,blood,O
,pressure,O
,and,O
,body,O
,fat,O
,increase,O
,.,O
,心臓,O
,の,O
,強,O
,さ,O
,、,O
,筋力,O
,、,O
,HDL,O
,コレステロール,O
,の,O
,濃度,O
,が,O
,低下,O
,する,O
,一方,O
,で,O
,、,O
,血圧,O
,や,O
,体脂肪,O
,は,O
,増加,O
,します,O
,。,O
Sentence: 20,Even,O
,former,O
,athletes,O
,who,O
,stop,O
,exercising,O
,do,B-MT
,not,B-MT
,retain,O
,measurable,O
,long-term,O
,benefits,O
,.,O
,運動,O
,をやめた,O
,元,O
,スポーツ,O
,選手,O
,でさえ,O
,、,O
,長期的,O
,な,O
,長期的,O
,な,O
,利益,O
,を,O
,維持,O
,することはできない,O
,。,O
Sentence: 21,When,O
,a,O
,drug,O
,is,O
,under,O
,patent,O
,protection,O
,",",O
,the,O
,company,O
,markets,O
,it,O
,under,O
,its,O
,brand,O
,name,O
,.,O
,医薬品,O
,が,O
,特許保護,O
,されている,O
,場合,O
,、,O
,同社,O
,はその,O
,ブランド,O
,名,O
,で,O
,医薬品,O
,を,O
,販売,O
,しています,O
,。,O
Sentence: 22,When,O
,the,O
,drug,O
,is,O
,off-patent,O
,(,O
,no,O
,longer,O
,protected,O
,by,O
,patent,O
,),O
,",",O
,the,O
,company,O
,may,O
,market,O
,its,O
,product,O
,under,O
,either,O
,the,O
,generic,O
,name,O
,or,O
,brand,O
,name,O
,.,O
,医薬品,O
,が,O
,特許,O
,から,O
,保護,O
,されていない,O
,（,O
,特許,O
,によって,O
,保護,O
,されていない,O
,）,O
,場合,O
,、,O
,会社,O
,はその,O
,製品,O
,を,O
,総称,O
,または,O
,ブランド,O
,名,O
,で,O
,販売,O
,することができます,O
,。,O
Sentence: 23,Other,O
,companies,O
,that,O
,file,O
,for,O
,approval,O
,to,O
,market,O
,the,O
,off-patent,O
,drug,O
,must,O
,use,O
,the,O
,same,O
,generic,O
,name,O
,but,O
,can,O
,create,B-MT
,their,O
,own,O
,brand,O
,name,O
,.,O
,オフ,O
,・,O
,パテント,O
,・,O
,ドラッグ,O
,を,O
,販売,O
,する,O
,承認,O
,を,O
,申請,O
,する,O
,他,O
,の,O
,企業,O
,は,O
,、,O
,同,O
,じ,O
,総称,O
,を,O
,使用,O
,しなければならないが,O
,、,O
,独自,O
,の,O
,ブランド,O
,名,O
,を,O
,作成,O
,することができる,O
,。,O
Sentence: 24,As,O
,a,O
,result,O
,",",O
,the,O
,same,O
,generic,O
,drug,O
