Sentence #,Word,Tag
Sentence: 1,Regular,O
,exercise,O
,makes,O
,the,O
,heart,O
,stronger,O
,and,O
,the,O
,lungs,O
,fitter,O
,",",O
,enabling,O
,the,O
,cardiovascular,O
,system,O
,to,O
,deliver,O
,more,O
,oxygen,O
,to,O
,the,O
,body,O
,with,O
,every,O
,heartbeat,O
,and,O
,the,O
,pulmonary,O
,system,O
,to,O
,increase,B-UG
,the,O
,maximum,O
,amount,O
,of,O
,oxygen,O
,that,O
,the,O
,lungs,O
,can,O
,take,O
,in,O
,.,O
,
Sentence: 2,These,O
,beneficial,O
,effects,O
,in,B-UG
,turn,B-UG
,decrease,O
,the,O
,risk,O
,of,O
,heart,O
,attack,O
,",",O
,stroke,O
,",",O
,and,O
,coronary,O
,artery,O
,disease,O
,.,O
,
Sentence: 3,In,O
,addition,O
,",",O
,colon,O
,cancer,O
,and,O
,some,O
,forms,O
,of,O
,diabetes,O
,are,O
,less,O
,likely,O
,to,O
,occur,O
,in,O
,people,O
,who,O
,exercise,O
,regularly,O
,.,O
,
Sentence: 4,In,O
,short,O
,",",O
,regular,O
,exercise,O
,is,O
,one,O
,of,O
,the,O
,best,O
,things,O
,that,O
,people,O
,can,O
,do,O
,to,O
,help,O
,prevent,O
,illness,O
,",",O
,maintain,O
,healthy,O
,body,O
,weight,O
,",",O
,preserve,O
,health,O
,and,O
,longevity,O
,",",O
,and,O
,enhance,O
,quality,O
,of,O
,life,O
,.,O
,
Sentence: 5,Exercise,O
,makes,O
,muscles,O
,stronger,O
,",",O
,allowing,O
,people,O
,to,O
,do,O
,tasks,O
,that,O
,they,O
,otherwise,O
,might,O
,not,O
,be,O
,able,O
,to,O
,do,O
,or,B-UG
,to,I-UG
,do,I-UG
,them,I-UG
,more,I-UG
,easily,I-UG
,.,O
,
Sentence: 6,Every,O
,physical,O
,task,O
,requires,O
,muscle,O
,strength,O
,and,O
,some,O
,degree,O
,of,O
,range,O
,of,O
,motion,O
,in,O
,joints,O
,.,O
,
Sentence: 7,Regular,O
,exercise,O
,can,O
,improve,O
,both,B-UG
,of,B-UG
,these,O
,qualities,O
,.,O
,
Sentence: 8,Exercise,O
,stretches,O
,muscles,O
,and,O
,joints,O
,",",O
,which,O
,in,B-UG
,turn,B-UG
,can,O
,increase,O
,flexibility,O
,and,O
,help,O
,prevent,O
,injuries,O
,.,O
,
Sentence: 9,Exercise,O
,may,O
,also,B-UG
,improve,O
,balance,O
,by,O
,increasing,O
,strength,O
,of,O
,the,O
,tissues,O
,around,O
,joints,O
,and,O
,throughout,O
,the,O
,body,O
,",",O
,thus,O
,helping,O
,to,O
,prevent,O
,falls,O
,.,O
,
Sentence: 10,Weight,B-UG
,-,I-UG
,bearing,I-UG
,exercise,O
,",",O
,such,O
,as,O
,brisk,B-UG
,walking,O
,and,O
,weight,B-UG
,training,B-UG
,",",O
,strengthens,O
,bones,O
,and,O
,helps,O
,prevent,O
,osteoporosis,O
,.,O
,
Sentence: 11,Exercise,O
,often,B-UG
,can,O
,improve,O
,function,O
,and,O
,reduce,O
,pain,O
,in,O
,people,O
,with,O
,osteoarthritis,O
,",",O
,although,O
,regimens,O
,must,O
,be,O
,developed,O
,specifically,O
,for,O
,each,O
,person,O
,",",O
,and,O
,exercises,O
,that,O
,put,O
,undue,O
,strain,O
,on,O
,joints,O
,",",O
,such,O
,as,O
,jumping,O
,and,O
,running,O
,",",O
,may,B-UG
,need,O
,to,O
,be,O
,avoided,O
,.,O
,
Sentence: 12,Exercise,O
,increases,O
,the,O
,body,O
,’,O
,s,O
,level,O
,of,O
,endorphins,O
,",",O
,chemicals,O
,in,O
,the,O
,brain,O
,that,O
,reduce,O
,pain,O
,and,O
,induce,O
,a,O
,sense,O
,of,O
,well,O
,-,O
,being,O
,.,O
,
Sentence: 13,Thus,O
,",",O
,exercise,O
,can,O
,help,O
,improve,O
,mood,O
,and,O
,energy,O
,levels,O
,and,O
,may,B-UG
,even,B-UG
,help,O
,relieve,O
,depression,O
,.,O
,
Sentence: 14,Exercise,O
,may,O
,also,O
,help,O
,boost,O
,self,O
,-,O
,esteem,O
,by,O
,improving,O
,a,O
,person,O
,’,O
,s,O
,overall,O
,health,O
,and,O
,appearance,O
,.,O
,
Sentence: 15,In,O
,addition,O
,to,O
,its,O
,other,O
,benefits,O
,",",O
,regular,O
,exercise,O
,helps,O
,older,O
,people,O
,remain,O
,independent,O
,by,O
,improving,O
,functional,O
,ability,O
,and,O
,by,O
,preventing,O
,falls,O
,and,O
,fractures,O
,(,O
,see,O
,also,O
,Exercise,O
,in,O
,the,O
,Elderly,O
,),O
,.,O
,
Sentence: 16,It,O
,can,O
,strengthen,O
,the,O
,muscles,O
,of,O
,even,O
,the,O
,frailest,B-UG
,older,O
,person,O
,living,O
,in,O
,a,O
,nursing,O
,or,O
,retirement,O
,home,O
,.,O
,
Sentence: 17,It,O
,tends,O
,to,O
,increase,O
,appetite,O
,",",O
,reduce,O
,constipation,O
,",",O
,and,O
,promote,O
,quality,O
,sleep,O
,.,O
,
Sentence: 18,The,O
,benefits,O
,of,O
,exercise,O
,diminish,O
,within,O
,weeks,O
,after,O
,a,O
,person,O
,stops,O
,exercising,O
,.,O
,
Sentence: 19,Heart,O
,strength,O
,",",O
,muscle,O
,strength,O
,",",O
,and,O
,the,O
,level,O
,of,O
,HDL,O
,cholesterol,O
,decrease,O
,",",O
,whereas,O
,blood,O
,pressure,O
,and,O
,body,O
,fat,O
,increase,O
,.,O
,
Sentence: 20,Even,O
,former,O
,athletes,O
,who,O
,stop,O
,exercising,O
,do,O
,not,O
,retain,O
,measurable,O
,long,O
,-,O
,term,O
,benefits,O
,.,O
,
Sentence: 21,When,O
,a,O
,drug,O
,is,O
,under,O
,patent,O
,protection,O
,",",O
,the,O
,company,O
,markets,O
,it,O
,under,O
,its,O
,brand,O
,name,O
,.,O
,
Sentence: 22,When,O
,the,O
,drug,O
,is,O
,off,O
,-,O
,patent,O
,(,O
,no,B-UG
,longer,B-UG
,protected,O
,by,O
,patent,O
,),O
,",",O
,the,O
,company,O
,may,O
,market,O
,its,O
,product,O
,under,O
,either,O
,the,O
,generic,O
,name,O
,or,O
,brand,O
,name,O
,.,O
,
Sentence: 23,Other,O
,companies,O
,that,O
,file,O
,for,O
,approval,O
,to,O
,market,O
,the,O
,off,O
,-,O
,patent,O
,drug,O
,must,O
,use,O
,the,O
,same,O
,generic,O
,name,O
,but,O
,can,O
,create,O
,their,O
,own,O
,brand,O
,name,O
,.,O
,
Sentence: 24,As,O
,a,O
,result,O
,",",O
,the,O
,same,O
,generic,O
,drug,O
,may,O
,be,O
,sold,O
,under,O
,either,O
,the,O
,generic,O
,name,O
,(,O
,for,O
,example,O
,",",O
,ibuprofen,O
,),O
,or,O
,one,B-UG
,of,B-UG
,many,O
,brand,O
,names,O
,(,O
,such,O
,as,O
,Advil,O
,or,O
,Motrin,O
,),O
,.,O
,
Sentence: 25,Generic,O
,and,O
,brand,O
,names,O
,must,O
,be,O
,unique,O
,to,O
,prevent,O
,one,O
,drug,O
,from,O
,being,O
,mistaken,O
,for,O
,another,O
,when,O
,drugs,O
,are,O
,prescribed,O
,and,O
,prescriptions,O
,are,O
,dispensed,O
,.,O
,
Sentence: 26,To,O
,prevent,O
,this,O
,possible,B-UG
,confusion,O
,",",O
,the,O
,FDA,O
,must,O
,agree,B-UG
,to,O
,every,O
,proposed,O
,brand,O
,name,O
,.,O
,
Sentence: 27,Government,O
,officials,O
,",",O
,doctors,O
,",",O
,researchers,O
,",",O
,and,O
,others,O
,who,O
,write,O
,about,B-UG
,the,O
,new,O
,compound,O
,use,O
,the,O
,drug,O
,’,O
,s,O
,generic,O
,name,O
,because,O
,it,O
,refers,O
,to,O
,the,O
,drug,O
,itself,O
,",",O
,not,O
,to,O
,a,O
,particular,O
,company,O
,’,O
,s,O
,brand,O
,of,O
,the,O
,drug,O
,or,O
,a,O
,specific,O
,product,O
,.,O
,
Sentence: 28,However,O
,",",O
,doctors,O
,often,O
,use,O
,the,O
,brand,O
,name,O
,on,O
,prescriptions,O
,",",O
,because,O
,it,O
,is,O
,easier,O
,to,O
,remember,O
,and,O
,doctors,O
,usually,O
,learn,O
,about,O
,new,O
,drugs,O
,by,B-UG
,the,I-UG
,brand,I-UG
,name,I-UG
,.,O
,
Sentence: 29,Generic,O
,names,O
,are,O
,usually,O
,more,O
,complicated,O
,and,O
,harder,O
,to,O
,remember,O
,than,O
,brand,O
,names,O
,.,O
,
Sentence: 30,Many,O
,generic,O
,names,O
,are,O
,a,O
,shorthand,O
,version,O
,of,O
,the,O
,drug,O
,’,O
,s,O
,chemical,O
,name,O
,",",O
,structure,O
,",",O
,or,O
,formula,O
,.,O
,
Sentence: 31,In,O
,contrast,O
,",",O
,brand,O
,names,O
,are,O
,usually,O
,catchy,O
,",",O
,often,O
,related,O
,to,O
,the,O
,drug,O
,’,O
,s,O
,intended,O
,use,O
,",",O
,and,O
,relatively,O
,easy,O
,to,O
,remember,O
,",",O
,so,O
,that,O
,doctors,O
,will,O
,prescribe,O
,the,O
,drug,O
,and,O
,consumers,O
,will,O
,look,O
,for,O
,it,O
,by,O
,name,O
,.,O
,
Sentence: 32,Brand,O
,names,O
,often,O
,suggest,O
,a,O
,characteristic,O
,of,O
,the,O
,drug,O
,.,O
,
Sentence: 33,For,O
,example,O
,",",O
,Lopressor,O
,lowers,O
,blood,O
,pressure,O
,",",O
,Glucotrol,O
,controls,O
,high,O
,blood,O
,sugar,O
,(,O
,glucose,O
,),O
,levels,O
,",",O
,and,O
,Skelaxin,O
,relaxes,O
,skeletal,O
,muscles,O
,.,O
,
Sentence: 34,Sometimes,O
,",",O
,the,O
,brand,O
,name,O
,is,O
,simply,O
,a,O
,shortened,O
,version,O
,of,O
,the,O
,drug,O
,’,O
,s,O
,generic,O
,name,O
,.,O
,
Sentence: 35,The,O
,term,O
,generic,O
,",",O
,when,O
,applied,O
,to,O
,such,O
,items,O
,as,O
,foods,O
,and,O
,household,O
,products,O
,",",O
,is,O
,used,O
,to,O
,describe,O
,a,O
,less,O
,expensive,O
,",",O
,sometimes,O
,less,O
,effective,O
,or,O
,lower,O
,-,O
,quality,O
,copycat,O
,version,O
,of,O
,a,O
,brand,O
,-,O
,name,O
,product,O
,.,O
,
Sentence: 36,However,O
,",",O
,most,O
,generic,O
,drugs,O
,",",O
,although,O
,less,O
,expensive,O
,than,O
,the,O
,comparable,O
,brand,O
,-,O
,name,O
,drug,O
,",",O
,are,O
,as,O
,effective,O
,and,O
,of,O
,the,O
,same,O
,quality,O
,as,O
,the,O
,brand,O
,-,O
,name,O
,drug,B-UG
,(,O
,see,O
,Bioequivalence,O
,and,O
,Interchangeability,O
,of,O
,Generic,O
,Drugs,O
,),O
,.,O
,
Sentence: 37,In,O
,fact,O
,",",O
,generic,O
,drug,O
,makers,O
,manufacture,O
,many,O
,brand,O
,-,O
,name,O
,products,O
,for,O
,companies,O
,that,O
,control,O
,the,O
,brand,O
,names,O
,.,O
,
Sentence: 38,Sometimes,O
,",",O
,more,O
,than,O
,one,O
,generic,O
,version,O
,of,O
,a,O
,drug,O
,is,O
,available,O
,.,O
,
Sentence: 39,For,O
,example,O
,",",O
,many,O
,manufacturers,O
,sell,O
,versions,O
,of,O
,acetaminophen,O
,.,O
,
Sentence: 40,In,O
,the,O
,United,O
,States,O
,",",O
,a,O
,company,O
,that,O
,develops,O
,a,O
,new,O
,drug,O
,can,O
,be,O
,granted,O
,a,O
,patent,O
,for,B-UG
,the,I-UG
,drug,I-UG
,itself,I-UG
,",",O
,for,O
,the,O
,way,O
,the,O
,drug,O
,is,O
,made,O
,",",O
,for,O
,the,O
,way,O
,the,O
,drug,O
,is,O
,to,O
,be,O
,used,O
,",",O
,and,O
,even,B-UG
,for,O
,the,O
,method,O
,of,O
,delivering,O
,and,O
,releasing,O
,the,O
,drug,O
,into,O
,the,O
,bloodstream,O
,.,O
,
Sentence: 41,A,O
,Helicobacter,O
,pylori,O
,infection,O
,is,O
,a,O
,risk,O
,factor,O
,for,O
,stomach,O
,cancer,O
,.,O
,
Sentence: 42,Vague,O
,abdominal,O
,discomfort,O
,",",O
,weight,O
,loss,O
,",",O
,and,O
,weakness,O
,are,O
,some,B-UG
,typical,O
,symptoms,O
,.,O
,
Sentence: 43,Diagnosis,O
,includes,O
,endoscopy,O
,and,O
,biopsy,O
,.,O
,
Sentence: 44,The,O
,survival,O
,rate,O
,is,O
,low,O
,because,O
,the,O
,cancer,O
,tends,O
,to,O
,spread,O
,early,O
,to,O
,other,O
,sites,O
,.,O
,
Sentence: 45,Surgery,O
,is,O
,performed,O
,to,O
,eliminate,O
,the,O
,cancer,O
,or,O
,relieve,O
,symptoms,O
,.,O
,
Sentence: 46,About,O
,95,O
,%,O
,of,O
,stomach,O
,cancers,O
,are,O
,adenocarcinomas,O
,.,O
,
Sentence: 47,Adenocarcinomas,O
,of,O
,the,O
,stomach,O
,originate,O
,from,O
,the,O
,glandular,O
,cells,O
,of,O
,the,O
,stomach,O
,lining,O
